id_chain;id_veh;label_list;short_label_list;n_trips;total_distance;start_time;total_time;stop_time;last_stop_time;id_pre;id_post;info
24488267;369484155;HWH;HWH;2;8900;2022-10-09 04:44:02+00;31797;30294;1578;63502055;27262093;"{""legs"": [[1000638, 1000947, 4], [1000919, 1000638, 13]], ""id_trips"": [24488267, 26988027], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
27262093;369484155;HOH;HOH;2;26400;2022-10-09 14:00:17+00;15436;11538;611;24488267;29073654;"{""legs"": [[1000638, 1001208, 14], [1001201, 1000638, 17]], ""id_trips"": [27262093, 28693500], ""id_zones"": [1000638, 1001208, 1000638], ""id_staypoints"": [64076016, 63818350, 64076016]}"
29073654;369484155;HH;H;1;800;2022-10-09 18:27:44+00;155;0;37203;27262093;30007018;"{""legs"": [], ""id_trips"": [29073654], ""id_zones"": [1000638], ""id_staypoints"": [64076016, 64076016]}"
30007018;369484155;HWH;HWH;2;8800;2022-10-10 04:50:22+00;33133;31287;53154;29073654;37536185;"{""legs"": [[1000638, 1000947, 4], [1000947, 1000638, 13]], ""id_trips"": [30007018, 34164187], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
37536185;369484155;HWOOH;HWOH;4;15900;2022-10-11 04:48:29+00;34157;31431;22605;30007018;43661519;"{""legs"": [[1000501, 1000947, 4], [1000947, 1000604, 13], [1000604, 1000646, 14], [1000602, 1000615, 14]], ""id_trips"": [37536185, 41173021, 41531758, 41548858], ""id_zones"": [1000638, 1000947, 1000604, 1000625, 1000638], ""id_staypoints"": [64076016, 33663725, 41206771, 63961516, 64076016]}"
43661519;369484155;HOOOH;HOH;4;17900;2022-10-11 20:34:31+00;16533;14237;611;37536185;43841132;"{""legs"": [[1000601, 1000617, 20], [1000705, 1000926, 22], [1000926, 1000954, 23], [1000910, 1000642, 0]], ""id_trips"": [43661519, 43792507, 43819559, 43834077], ""id_zones"": [1000638, 1000617, 1000926, 1000954, 1000638], ""id_staypoints"": [64076016, 63960193, 43816986, 43819780, 64076016]}"
43841132;369484155;HH;H;1;1000;2022-10-12 01:20:15+00;173;0;622;43661519;43841627;"{""legs"": [], ""id_trips"": [43841132], ""id_zones"": [1000638], ""id_staypoints"": [64076016, 64076016]}"
43841627;369484155;HH;H;1;1300;2022-10-12 01:33:30+00;248;0;676;43841132;43842355;"{""legs"": [], ""id_trips"": [43841627], ""id_zones"": [1000638], ""id_staypoints"": [64076016, 64076016]}"
43842355;369484155;HH;H;1;1100;2022-10-12 01:48:54+00;226;0;125468;43841627;53922187;"{""legs"": [[1000642, 1000638, 1]], ""id_trips"": [43842355], ""id_zones"": [1000638], ""id_staypoints"": [64076016, 64076016]}"
53922187;369484155;HWH;HWH;2;8800;2022-10-13 12:43:48+00;30562;29050;55856;43842355;60539877;"{""legs"": [[1000638, 1000947, 12], [1000919, 1000638, 21]], ""id_trips"": [53922187, 56949841], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
60539877;369484155;HWH;HWH;2;10700;2022-10-14 12:44:06+00;31724;29559;54999;53922187;67494517;"{""legs"": [[1000638, 1000947, 12], [1000919, 1000638, 21]], ""id_trips"": [60539877, 63742246], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
67494517;369484155;HWH;HWH;2;8800;2022-10-15 12:49:29+00;28687;26873;1557;60539877;70533556;"{""legs"": [[1000638, 1000947, 12], [1000919, 1000638, 20]], ""id_trips"": [67494517, 70378849], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
70533556;369484155;HOH;HOH;2;5100;2022-10-15 21:13:33+00;1637;766;11891;67494517;24351548;"{""legs"": [[1000638, 1000622, 21], [1000609, 1000627, 21]], ""id_trips"": [70533556, 70543984], ""id_zones"": [1000638, 1000622, 1000638], ""id_staypoints"": [64076016, 70536988, 64076016]}"
